Unnamed: 0,SVM,RFC,LRC,KNN,DST
Variance,0.028188636,0.049039677,0.017995948,0.103758205,0.048281651
Sim Entropy,0.340025424,0.397221386,0.353374972,0.422385762,0.406711537
Rep Entropy,0.2924571,0.361258956,0.292843148,0.422385762,0.351064888
SPECtrum,0.005285369,0.06375158,0.040899881,0.084150355,0.005728332
Lap Score,0.12695254,0.109611461,0.106426605,0.138184791,0.095823224
Mutual Corre,0.253697725,0.271352881,0.248671277,0.278594864,0.267594914
MICI,0.008808949,0.075194172,0.035991895,0.10702618,0.079378308
MDCM,0.255459515,0.246833042,0.233947319,0.221405303,0.229951593
Linear Depend,0.028188636,0.026154495,0.009815971,0.064542505,0.002454999
MPMR,0.276600992,0.333469805,0.286299167,0.383170063,0.347791555
MCFS,0.07223338,0.02778915,0.047443862,0.013888894,0.035188322
RSPCA,0,0.001634656,0.03108391,0.04820263,0.007364998
ANOVA F,0.769902125,0.735595158,0.788549706,0.732843382,0.765141422
ReliefF,0.51268082,0.524724546,0.461350658,0.535130898,0.53273483
Info Gain,0.685336217,0.732325847,0.688753996,0.781863006,0.794601413
MRMR,0.796328971,0.727421879,0.803273663,0.703431607,0.771688087
ERFS,0.789281812,0.691459449,0.827813592,0.716503507,0.734044765
Variance,0.028641658,0.036764718,0.000816994,0.041632653,0.040164272
Sim Entropy,0.323241563,0.337418413,0.322712526,0.312653061,0.279510544
Rep Entropy,0.341244891,0.440359624,0.339052401,0.39755102,0.330330643
SPECtrum,0.115384963,0.139705929,0.121732067,0.186938776,0.176230988
Lap Score,0.210828548,0.23505355,0.226863531,0.231588259,0.207888531
Mutual Corre,0.323241563,0.345588351,0.301470689,0.330612245,0.25819889
MICI,0.046644985,0.000816994,0.000816994,0.012244898,0.025410049
MDCM,0.257774918,0.299836701,0.252451065,0.311020408,0.231969161
Linear Depend,0.149754952,0.178921628,0.138071942,0.231020408,0.186067136
MPMR,0.161211615,0.183823591,0.156045804,0.146122449,0.200821359
MCFS,0.038461654,0.028594781,0.071078455,0.004081633,0.017213259
RSPCA,0.172668278,0.219771315,0.182189603,0.229387755,0.195903285
ANOVA F,0.748774761,0.69526167,0.750817244,0.709387755,0.736891435
ReliefF,0.591654811,0.613562296,0.620098246,0.601632653,0.564758841
Info Gain,0.691491446,0.72140547,0.68872572,0.709387755,0.6991862
MRMR,0.738954764,0.649510021,0.727941419,0.68,0.748366941
ERFS,0.843701397,0.737745344,0.884804217,0.750204082,0.764760521
Variance,0.106339691,0.131535992,0.117695225,0.136326531,0.118853457
Sim Entropy,0.201227415,0.281862839,0.269718225,0.248979592,0.212296865
Rep Entropy,0.215951372,0.361928225,0.328565837,0.377959184,0.28278926
SPECtrum,0.050715852,0.04820263,0.034327774,0.000816327,0.017213259
Lap Score,0.025389034,0.026175871,0.079378069,0.067020892,0.070578871
Mutual Corre,0.186503457,0.299836701,0.305680655,0.315918367,0.223772371
MICI,0.101431705,0.111928142,0.101348666,0.126530612,0.104099235
MDCM,0.055623838,0.136437954,0.142215064,0.188571429,0.109017309
Linear Depend,0.006543981,0.041666681,0.039231742,0.115102041,0.03360684
MPMR,0.1030677,0.090686305,0.049039677,0.044897959,0.145083186
MCFS,0.013087962,0.046568643,0.057212957,0.043265306,0.079508864
RSPCA,0.052351848,0.023692818,0.003269312,0.084081633,0.000819679
ANOVA F,0.559510372,0.605392359,0.606457342,0.608163265,0.602464076
ReliefF,0.459714663,0.590686472,0.554148353,0.539591837,0.517217459
Info Gain,0.531698453,0.696895657,0.611361309,0.678367347,0.572955632
MRMR,0.585686296,0.574346597,0.59501475,0.573877551,0.625415088
ERFS,0.765645773,0.776961044,0.900695405,0.782857143,0.763121163
Variance,0.072831643,0.156045804,0.142098828,0.141339916,0.152521891
Sim Entropy,0.270868247,0.345588351,0.313597413,0.330882463,0.239912812
Rep Entropy,0.293781573,0.342320376,0.329930611,0.3651962,0.243210583
SPECtrum,0.076104976,0.102124217,0.099632511,0.10049023,0.109650873
Lap Score,0.170371294,0.120790293,0.144560582,0.182417993,0.105307704
Mutual Corre,0.316694899,0.370098163,0.34136385,0.373366138,0.243210583
MICI,0.110474965,0.232843215,0.207431622,0.169117704,0.172308514
MDCM,0.177578277,0.20996739,0.207431622,0.232843215,0.112948643
Linear Depend,0.020458327,0.023692818,0.021233158,0.026960793,0.060184314
MPMR,0.01063833,0.010620919,0.006533279,0.018790856,0.043695461
MCFS,0.072831643,0.007352944,0.022866478,0.018790856,0.020611066
RSPCA,0.040098321,0.023692818,0.027766438,0.090686305,0.004122213
ANOVA F,0.581834814,0.703431607,0.676194421,0.626634196,0.683462959
ReliefF,0.496728174,0.611928309,0.566761991,0.54656881,0.568040988
Info Gain,0.576924815,0.727941419,0.679461061,0.659313946,0.614209776
MRMR,0.603111474,0.703431607,0.681094381,0.628268184,0.699951812
ERFS,0.765141422,0.811274781,0.891792643,0.727941419,0.792289389
Variance,0.112019774,0.143732148,0.100572498,0.115196117,0.009145337
Sim Entropy,0.143090952,0.153532067,0.164350179,0.224673278,0.112238221
Rep Entropy,0.134914326,0.169865265,0.162714854,0.276960877,0.132191683
SPECtrum,0.092395872,0.140465508,0.164350179,0.206699415,0.153807933
Lap Score,0.180254009,0.130114741,0.091765678,0.086778616,0.098305348
Mutual Corre,0.128373025,0.142098828,0.149632252,0.275326889,0.110575433
MICI,0.071136645,0.129032269,0.064595344,0.09395428,0.010808125
MDCM,0.031888841,0.035933037,0.054783393,0.188725553,0.029098798
Linear Depend,0.035159491,0.021233158,0.02534754,0.115196117,0.110575433
MPMR,0.043336117,0.071866074,0.017170914,0.09395428,0.009145337
MCFS,0.030253516,0.088199272,0.115290424,0.072712443,0.168773029
RSPCA,0.033524166,0.052266235,0.041700792,0.110294154,0.110575433
ANOVA F,0.393295702,0.542262193,0.563369519,0.631536158,0.511307452
ReliefF,0.378577775,0.521029035,0.496321187,0.528594948,0.483040048
Info Gain,0.401472328,0.535728914,0.537204316,0.618464259,0.456435433
MRMR,0.42436688,0.57166195,0.589534721,0.636438121,0.561191106
ERFS,0.704007483,0.734993936,0.759608538,0.589052484,0.730795529
Variance,0.000817663,0.02861819,0.075255781,0.073619786,0.015422404
Sim Entropy,0.203597983,0.121831725,0.186503457,0.191411443,0.047980812
Rep Entropy,0.267375664,0.255928388,0.335379024,0.358282958,0.277603267
SPECtrum,0.056418718,0.190515381,0.229039334,0.227403338,0.255326461
Lap Score,0.124641341,0.108241164,0.164889309,0.151763792,0.152948057
Mutual Corre,0.309894118,0.260834363,0.34028701,0.341923005,0.203918449
MICI,0.071136645,0.13000835,0.155419548,0.152147557,0.106243225
MDCM,0.234669161,0.206868633,0.291207153,0.256851253,0.253612861
Linear Depend,0.015535589,0.046606767,0.109611681,0.109611681,0.085680021
MPMR,0.264105014,0.179068105,0.284663172,0.230675329,0.178214443
MCFS,0.004088313,0.1267377,0.127607629,0.124335638,0.197064047
RSPCA,0.058054043,0.004088313,0.008179976,0.085071753,0
ANOVA F,0.519215739,0.625511875,0.662578073,0.634766153,0.644313755
ReliefF,0.550286917,0.610793948,0.605318239,0.631494163,0.594619343
Info Gain,0.555192893,0.596076022,0.652762101,0.638038144,0.570628937
MRMR,0.488144561,0.617335249,0.634766153,0.598774258,0.647740955
ERFS,0.568275494,0.759608538,0.826177597,0.651126106,0.688867365
Variance,0.150635084,0.062167819,0.080163767,0.119329881,0.186953086
Sim Entropy,0.243963343,0.217587367,0.269939215,0.232121139,0.192294603
Rep Entropy,0.165371125,0.2404913,0.263395234,0.241929074,0.21366067
SPECtrum,0.052394812,0.13415161,0.050715852,0.17981215,0.044512639
Lap Score,0.166529999,0.277868852,0.241803279,0.195741261,0.274759166
Mutual Corre,0.240688667,0.247035281,0.317383077,0.271352881,0.242148759
MICI,0.106426962,0.029447914,0.040899881,0.086636763,0.178050558
MDCM,0.12203149,0.213584574,0.18739796,0.211774396,0.194154371
Linear Depend,0.081866894,0.163599524,0.081799762,0.217409236,0.146001458
MPMR,0.217765937,0.27157521,0.250307272,0.348181708,0.243929264
MCFS,0.039296109,0.004907986,0.063803814,0.004903968,0.003561011
RSPCA,0.078592218,0.163599524,0.0343559,0.21577458,0.149562469
ANOVA F,0.383137062,0.472802625,0.538242434,0.577033535,0.503883079
ReliefF,0.306182182,0.338651015,0.495706558,0.402125353,0.452248417
Info Gain,0.350390305,0.402454829,0.489162577,0.532897826,0.411296789
MRMR,0.397873103,0.485890587,0.557874377,0.60318803,0.537712685
ERFS,0.627100405,0.703477954,0.757465797,0.60318803,0.678372626
Variance,0.097301847,0.199182001,0.169813378,0.145842859,0.187751069
Sim Entropy,0.089125221,0.113935383,0.122232818,0.198280741,0.154153509
Rep Entropy,0.146361602,0.179509704,0.250208117,0.239247837,0.150200855
SPECtrum,0.288634891,0.28278926,0.260052371,0.221222315,0.24704088
Lap Score,0.135135135,0.179803501,0.207889373,0.078785558,0.139559094
Mutual Corre,0.161079529,0.194263927,0.238723154,0.278576248,0.154153509
MICI,0.071136645,0.176230988,0.153406288,0.136010757,0.187751069
MDCM,0.107113798,0.164755482,0.227238192,0.190087322,0.14031922
Linear Depend,0.182338756,0.14180447,0.163250542,0.134372073,0.069171446
MPMR,0.103843148,0.135247037,0.181298341,0.185171271,0.114626968
MCFS,0.07931327,0.128689605,0.081215094,0.062269985,0.177869434
RSPCA,0.193786032,0.125410889,0.1189514,0.088488926,0.108697987
ANOVA F,0.27882294,0.264756322,0.379824125,0.47685699,0.381431119
ReliefF,0.293540867,0.312297705,0.414279013,0.450638049,0.420957659
Info Gain,0.288634891,0.292625408,0.360135618,0.453915416,0.337951924
MRMR,0.293540867,0.261477606,0.368339162,0.467024887,0.383407446
ERFS,0.638594476,0.618857656,0.681714575,0.585010121,0.652187923
Variance,0.093084546,0.242204328,0.105837546,0.218484638,0.129930317
Sim Entropy,0.320441491,0.291466226,0.294360675,0.233269313,0.160205342
Rep Entropy,0.182050307,0.253698771,0.186869417,0.185629806,0.162728261
SPECtrum,0.107912173,0.073071814,0.077724448,0.021355641,0.013876053
Lap Score,0.094245729,0.228600233,0.157388042,0.113099913,0.131551132
Mutual Corre,0.310556406,0.325949554,0.27947727,0.243125763,0.215709555
MICI,0.160632624,0.27340353,0.158756319,0.292408012,0.172819936
MDCM,0.112076713,0.202056268,0.161302738,0.153659074,0.148913001
Linear Depend,0.05848675,0.038588486,0.081031871,0.026283866,0.031536485
MPMR,0.121092286,0.140396407,0.186869417,0.156060456,0.180388692
MCFS,0.198525448,0.017241664,0.072763313,0.121562881,0.04162816
RSPCA,0.137567427,0.015599601,0.191830552,0.068995149,0.117315723
ANOVA F,0.554388491,0.368643198,0.461385552,0.466538626,0.45286392
ReliefF,0.381399512,0.298034479,0.360509141,0.252982213,0.417543057
Info Gain,0.5307162,0.313762172,0.378027442,0.492202061,0.374806452
MRMR,0.447300076,0.27340353,0.438233589,0.476395076,0.465478514
ERFS,0.587338773,0.559122534,0.52918773,0.492822492,0.495753539
